石家庄,114.28,38.04,54738,8.2,45,46.8,2.86,4.7,0.26,56.3,11,554.9,yes,yes
唐山,117.31,38.55,90290,8.5,57.4,34.1,2.86,5.05,0.26,56.3,11.2,500,yes,yes
秦皇岛,118.33,39.24,48666,6.5,43.8,49.7,2.86,5.05,0.26,56.3,10,470,yes,yes
邯郸,114.03,36.2,38585,11.1,48.6,40.3,3.1,3.87,0.26,56.3,14,498,yes,yes
邢台,113.52,36.5,24254,6.5,43.8,49.7,2.02,4.7,0.26,56.3,12,502,no,yes
保定,113.4,38.1,30891,11.7,45.7,42.6,2.02,4.7,0.26,56.3,13.4,498.9,no,yes
张家口,113.5,39.3,33030,18.2,37.2,44.6,2.02,4.7,0.26,56.3,12,330,no,no
承德,115.54,40.12,42572,15.6,46.1,38.3,2.02,4.7,0.26,56.3,9,501,yes,no
沧州,115.42,37.29,43940,8.7,49.5,41.8,2.02,4.7,0.26,56.3,12.5,581,no,no
廊坊,116.7,38.28,62418,6.5,43.8,49.7,2.02,4.7,0.26,56.3,11.9,554.9,no,no
衡水,115.1,37.03,34782,11.9,46.2,41.9,2.02,4.7,0.26,56.3,11,642.1,no,yes
