南京,118.22,31.14,141103,2.3,38,59.7,2.78,4.64,0.24,58.6,15.4,1106,yes,yes
no锡,119.33,31.07,164000,1.3,47.2,51.5,2.78,4.64,0.24,58.6,16.2,1121.7,yes,yes
徐州,116.22,33.43,75611,9.1,43.6,47.3,2.78,4.68,0.24,58.6,14,800,yes,yes
常州,119.08,31.09,140383,2.4,46.5,51.1,2.78,4.64,0.24,58.6,15.4,920,yes,yes
苏州,120.37,31.19,145000,2.3,38,59.7,2.52,4.71,0.24,58.6,15.1,1100,no,yes
南通,120.11,31.41,105903,7,54.5,38.5,2.78,4.64,0.24,58.6,15.1,1040,yes,yes
连云港,118.24,33.59,52986,12.7,44.2,43.1,2.78,4.64,0.24,58.6,14,920,yes,yes
淮安,118.12,32.43,68934,10.6,41.7,47.7,2.78,4.64,0.24,58.6,14.1,1000,yes,yes
盐城,119.27,32.34,70300,11.1,44.4,44.5,2.78,4.64,0.24,58.6,15.1,1014.7,yes,yes
扬州,119.01,32.15,82660,5.2,48.9,45.9,2.78,4.64,0.24,58.6,15.8,864,yes,yes
镇江,118.58,31.37,129047,3.6,48.8,47.6,2.78,4.64,0.24,58.6,15.6,1088.2,no,yes
泰州,119.38,32.01,102058,5.6,47.1,47.3,2.78,4.64,0.24,58.6,15.1,1037.7,yes,yes
宿迁,117.6,33.12,53126,11.2,48,40.8,2.78,4.64,0.24,58.6,14.2,892.3,yes,yes
