ÉòÑô,123.25,41.48,70730,4.6,38.4,57,3.08,6.6,0.2,65.6,6.2,622.5,yes,yes
´óÁ¬,120.58,38.43,105387,6.4,41.5,52.1,3.08,5.51,0.2,65.6,10,550,yes,yes
°°É½,122.98,41.1,46572,4.6,53.8,41.6,3.08,5.51,0.2,65.6,8,640,yes,yes
¸§Ë³,123.39,41.14,106700,6.1,53,40.9,3.08,5.51,0.2,65.6,8,700,no,no
±¾Ïª,123.34,40.49,69123,5.3,59.7,35,3.08,5.51,0.2,65.6,7.8,800,no,yes
µ¤¶«,123.22,39.43,31108,17.1,30.6,52.3,3.08,5.51,0.2,65.6,8,881.3,yes,yes
½õÖÝ,120.43,40.48,41069,20.7,32.6,46.7,3.08,5.51,0.2,65.6,7.8,567,yes,yes
Óª¿Ú,122.13,40.39,48713,6.4,63.1,30.5,3.08,5.51,0.2,65.6,8,670,yes,yes
¸·ÐÂ,122,42.1,23815,24,26.2,49.8,3.08,5.51,0.2,65.6,8.6,565.6,no,yes
ÁÉÑô,122.35,40.42,47791,6.4,63.1,30.5,3.08,5.51,0.2,65.6,8,800,no,yes
ÅÌ½õ,121.25,40.39,80335,0.6,51.1,48.3,3.08,5.51,0.2,65.6,9.9,692,no,yes
ÌúÁë,123.27,41.59,22178,23.8,232.5,43.7,3.08,5.51,0.2,65.6,6.3,700,no,yes
³¯Ñô,120.45,41.57,24025,26,22.6,51.4,3.08,5.51,0.2,65.6,5.4,500,yes,yes
ºùÂ«µº,120.38,40.56,28208,15.9,36.8,47.3,3.08,5.51,0.2,65.6,6.3,800,no,yes
