杭州,120.17,30.25,132617,2.5,24.9,62.6,3.61,5.44,0.33,68.6,17.8,1454,yes,yes
宁波,121.55,29.87,124017,3.6,51.8,44.6,2.82,3.31,0.33,68.6,16.4,1480,yes,yes
温州,120.65,28.02,59177,2.6,39.4,58,2.51,3.31,0.33,68.6,17.3,1200,yes,yes
绍兴,120.57,30,102200,4,48.8,47.2,2.82,3.31,0.33,68.6,17.3,1200,no,yes
湖州,120.12,30.87,82675,5.8,47.1,47.1,2.82,3.31,0.33,68.6,12.2,1129.5,no,yes
嘉兴,120.7,30.77,93964,4.9,54.9,40.2,2.82,3.31,0.33,68.6,15.9,1168.6,yes,yes
金华,119.65,29.08,69445,3.8,42.3,53.9,2.82,3.31,0.33,68.6,17.5,1424,yes,yes
衢州,118.87,28.93,63833,6.3,45.1,48.6,2.82,3.31,0.33,68.6,16.3,470,yes,yes
台州,121.43,28.68,72175,4.9,54.9,40.2,2.82,3.31,0.33,68.6,16,1632,yes,yes
丽水,119.92,28.45,59674,7.7,42.9,49.4,2.82,3.31,0.33,68.6,17.9,1598.9,no,yes
舟山,122.1,30.02,105263,11.7,36.5,51.8,2.82,3.31,0.33,68.6,16,1110,yes,no
